"entityName","time","latitude","longitude","altitude"
"{AH211}","2021-04-14T05:30:01Z","40.691233692","-4.540306706","2.10789"
"{AH223}","2021-07-28T11:46:02Z","40.700831617","-4.542076753","2.10789"
"{AH228}","2021-07-28T13:48:01Z","40.688380255","-4.527977417","2.10789"
"{AH238}","2021-07-28T13:47:43Z","40.691584649","-4.539085985","2.10789"
"{AH239}","2021-07-28T14:32:10Z","40.692072938","-4.538948653","2.10789"
"{AH251}","2021-07-28T13:50:02Z","40.691523613","-4.538490883","2.10789"
"{AH252}","2021-07-28T14:33:49Z","40.690852216","-4.540032044","2.10789"
"{AH253}","2021-07-28T12:47:34Z","40.700404364","-4.5416495","2.10789"
"{AH258}","2021-07-28T14:25:07Z","40.691401541","-4.540016785","2.10789"
"{AH259}","2021-07-28T13:37:39Z","40.688120851","-4.542915999","2.10789"
"{AH260}","2021-04-20T10:07:18Z","40.699000534","-4.531776913","2.10789"
"{AH263}","2021-07-28T14:30:52Z","40.691996643","-4.538765545","2.10789"
"{AH266}","2021-07-28T13:40:28Z","40.692591745","-4.539330129","2.10789"
"{AH269}","2021-07-28T13:36:37Z","40.691798276","-4.53868925","2.10789"
"{AH273}","2021-07-28T15:29:50Z","40.701350423","-4.541313802","2.10789"
"{AH274}","2021-07-28T14:28:15Z","40.691706722","-4.539208057","2.10789"
"{AH275}","2021-07-28T13:48:31Z","40.692072938","-4.538292515","2.10789"
"{AH277}","2021-07-28T18:33:11Z","40.697306783","-4.539482719","2.10789"
"{AH282}","2021-07-28T14:31:01Z","40.691584649","-4.539375906","2.10789"
"{AH283}","2021-07-28T15:01:04Z","40.691676204","-4.53853666","2.10789"
"{AH286}","2021-07-28T14:25:47Z","40.691828794","-4.538857099","2.10789"
"{AH288}","2021-07-28T13:42:53Z","40.689356832","-4.542534524","2.10789"
"{AH289}","2020-09-12T17:33:20Z","40.692057679","-4.538811322","2.10789"
"{AH300}","2021-07-28T13:48:12Z","40.691752499","-4.53884184","2.10789"
"{AH301}","2020-12-10T07:09:56Z","40.687647822","-4.540199893","2.10789"
"{AH304}","2020-08-08T23:47:47Z","40.692317082","-4.539116503","2.10789"
"{AH306}","2021-07-28T12:41:57Z","40.700526436","-4.541512169","2.10789"
"{AH579}","2020-09-07T10:30:19Z","40.691508354","-4.538582437","2.10789"
"{AH605}","2020-12-26T12:03:09Z","40.561455711","-4.764415961","2.10789"
"{AI802}","2021-07-28T13:15:33Z","40.691920348","-4.538628214","2.10789"
"{AI803}","2021-07-28T13:35:50Z","40.691935607","-4.537880522","2.10789"
"{AI820}","2021-07-28T14:33:54Z","40.693171588","-4.532906081","2.10789"
"{AI840}","2021-07-28T13:44:36Z","40.693385214","-4.531776913","2.10789"
"{AI841}","2021-07-28T13:40:12Z","40.691554131","-4.538765545","2.10789"
"{AI899}","2021-07-28T13:38:35Z","40.691477836","-4.539299611","2.10789"
"{AJ667}","2020-06-13T10:57:38Z","40.691828794","-4.538628214","2.10789"
